,IA,IB,IC,IZ,eA,eB,eC
0,2.64,6.41,-10.77,-1.71,0.93,-0.14,-0.63
1,2.09,7.51,-9.67,-0.07,0.95,-0.21,-0.57
2,3.75,3.68,-7.47,-0.04,0.97,-0.28,-0.5
3,5.98,0.94,-8.02,-1.1,0.98,-0.35,-0.43
4,5.98,1.49,-8.57,-1.1,0.99,-0.43,-0.35
5,7.09,3.68,-10.22,0.55,1.0,-0.5,-0.28
6,6.53,4.77,-11.32,-0.01,1.0,-0.56,-0.21
7,3.2,5.87,-10.77,-1.7,0.99,-0.62,-0.14
8,2.09,6.41,-9.67,-1.17,0.97,-0.67,-0.07
9,3.75,3.68,-8.57,-1.14,0.94,-0.72,0.02
10,4.31,2.04,-8.57,-2.22,0.91,-0.78,0.1
11,7.64,1.49,-10.22,-1.08,0.87,-0.83,0.19
12,9.87,-0.15,-11.32,-1.6,0.84,-0.87,0.27
13,11.54,2.04,-13.51,0.06,0.8,-0.9,0.33
14,10.42,1.49,-14.61,-2.7,0.75,-0.93,0.4
15,9.31,-0.15,-10.77,-1.61,0.7,-0.95,0.46
16,8.2,-0.7,-9.12,-1.62,0.64,-0.97,0.53
17,9.31,-2.34,-8.57,-1.6,0.58,-0.98,0.6
18,9.87,-1.8,-8.57,-0.49,0.52,-0.99,0.67
19,10.98,-1.25,-9.67,0.07,0.45,-1.0,0.73
20,10.98,-0.15,-12.41,-1.59,0.39,-0.99,0.77
21,8.76,3.13,-12.96,-1.08,0.33,-0.98,0.81
22,6.53,3.68,-11.32,-1.1,0.25,-0.96,0.85
23,4.31,1.49,-9.67,-3.87,0.17,-0.93,0.89
24,5.42,-1.25,-5.82,-1.64,0.09,-0.9,0.93
25,9.87,-5.63,-4.17,0.07,0.0,-0.87,0.96
26,10.98,-8.36,-5.27,-2.65,-0.07,-0.83,0.98
27,12.65,-8.36,-4.72,-0.43,-0.14,-0.79,0.99
28,12.09,-8.91,-4.17,-0.99,-0.21,-0.75,1.0
29,9.31,-6.72,-5.27,-2.68,-0.28,-0.7,1.0
30,6.53,-6.17,-0.87,-0.51,-0.35,-0.64,1.0
31,4.31,-5.63,0.78,-0.54,-0.42,-0.57,0.99
32,5.98,-7.27,0.23,-1.06,-0.5,-0.51,0.99
